Year,Average Rainfall,Max Rainfall,Min Rainfall,Std Dev,Variability Index
2034,289.91303535856576,806.0,0.0,21.503591709686983,7.417255896441925
2035,295.61136703187253,484.0,0.0,19.61629503007175,6.635839219253277
2036,340.37908781540506,503.0,0.0,23.01474933477814,6.761505086134885
2037,335.1683163180611,555.0,0.0,22.65897229686161,6.760475615887024
2038,302.3323995683931,575.0,0.0,20.73311869727267,6.857723064703311
2039,409.0550402556441,752.0,0.0,28.426376989803867,6.9492792393019895
2040,337.5660171812749,542.0,0.0,22.829242984677805,6.762897277191966
2041,254.89311503984064,592.0,0.0,17.895168805136848,7.020656011967909
2042,314.2532422393758,475.0,0.0,20.414277003235096,6.496122954138035
2043,346.50282723273574,657.0,0.0,22.480115039722385,6.487714752359914
2044,295.0722578436255,683.0,0.0,19.629390668872663,6.65240128378159
2045,303.47771933100927,628.0,0.0,22.086794310569143,7.277896499043685
2046,331.1824472941567,462.0,0.0,21.53578839136946,6.502696192785043
2047,329.4037858980744,711.0,0.0,23.67094080128696,7.185995369406996
2048,312.5581424302789,780.0,0.0,20.984759509414427,6.713873887990427
2049,351.6928432104914,715.0,0.0,25.260796882631983,7.182630346422251
2050,318.2839890438247,700.0,0.0,21.600440492959144,6.786530657055755
2051,293.30721904050466,347.0,0.0,18.153853448916703,6.189364690137313
2052,260.5605805942895,402.0,0.0,18.451013632675547,7.081275913107143
2053,325.03429511122175,417.0,0.0,20.868358208530108,6.4203557970365175
2054,392.2793669073705,712.0,0.0,24.669217924392342,6.2886860756603395
2055,299.4624885873174,537.0,0.0,21.435211388668208,7.157895297600227
2056,397.2578125,508.0,0.0,25.98460808264796,6.540993597866112
2057,364.68655585989376,767.0,0.0,23.90571141555082,6.555139209665568
2058,285.5832295816733,725.0,0.0,20.689489169655488,7.244644302104773
2059,251.67230556938912,437.0,0.0,18.004617719033735,7.153992441997017
2060,260.50347049302786,420.0,0.0,17.876087024629378,6.862130086327511
2061,274.7901103917663,396.0,0.0,18.14695427425139,6.603932815624043
2062,285.2970513778221,758.0,0.0,22.130204247066363,7.756899042661007
2063,317.39350929614875,566.0,0.0,23.06869818578904,7.268169483662769
2064,266.06346489043824,667.0,0.0,19.342304203344952,7.26980843134922
2065,292.93877095783535,863.0,0.0,23.628126696766124,8.065892616231082
2066,312.3840938330013,777.0,0.0,24.238919421563097,7.759332149133394
2067,377.5567677207835,564.0,0.0,27.025786355449817,7.158072286347237
2068,290.8951745102922,660.0,0.0,21.23466282441019,7.299764549259955
2069,266.2667351427623,388.0,0.0,19.15319883047447,7.193237570665836
2070,339.10501224269586,470.0,0.0,22.842089923454573,6.73599301065671
2071,383.3687230245684,602.0,0.0,23.886316121301995,6.230637682921052
2072,258.8764213977424,478.0,0.0,18.457588838194877,7.129884111707612
2073,290.55695447377155,1343.0,0.0,23.068493693726396,7.939405110955201
2074,310.945276186919,534.0,0.0,23.162321900629394,7.449002662032979
2075,303.65912910856576,694.0,0.0,21.706698558421476,7.148376741428638
2076,209.91596115537848,339.0,0.0,16.04107823313192,7.64166676266147
2077,294.68706424302786,581.0,0.0,20.11050661833377,6.824360163209836
2078,349.3494615288845,1001.0,0.0,24.546976052141925,7.026481719684105
2079,189.99551792828686,492.0,0.0,15.877200548442309,8.356618472671078
2080,318.93093770750335,491.0,0.0,23.017158473142974,7.216972626924132
2081,413.8250383881142,754.0,0.0,27.04597451933399,6.535606116217736
2082,262.5842515355246,468.0,0.0,20.006492152319982,7.619075414967656
2083,393.27834495351925,659.0,0.0,26.233861848365507,6.670558444164026
2084,273.53110993525894,485.0,0.0,21.54046955862603,7.874961485632974
2085,306.0831050796813,436.0,0.0,22.073296584424888,7.211537068888087
2086,245.43779050464806,501.0,0.0,17.542558817987395,7.147456299177847
2087,231.84855888944224,357.0,0.0,18.01742404464847,7.771203811208566
2088,243.25239666334662,545.0,0.0,17.997164961528146,7.398556071139407
2089,325.503714309429,553.0,0.0,24.74071244971346,7.600746585089517
2090,311.38808827191235,539.0,0.0,20.519406831393294,6.589656959991097
2091,261.7721354166667,562.0,0.0,19.974828103346052,7.630616632114727
2092,411.17406416002655,744.0,0.0,27.096592893883017,6.5900540077199965
2093,272.36999398240374,603.0,0.0,19.992231159815642,7.340100452147172
2094,270.47283781540506,605.0,0.0,22.1114671988205,8.175115615088622
2095,287.1360184262948,724.0,0.0,21.376840076678235,7.444847983139905
2096,203.91945239873837,435.0,0.0,15.91806221969477,7.806053827846221
2097,205.67821422642763,363.0,0.0,15.235197121678537,7.407297451983111
2098,239.42845804282868,383.0,0.0,16.95120695715816,7.079863060441189
2099,322.5848169820717,658.0,0.0,23.1645824729911,7.180927698242698
2100,314.36123215471446,543.0,0.0,21.135795137162763,6.723410196700296
